ev,cvar,mstd,cvar_mstd,var,alpha
0.00038136813934053215,0.002463109469523328,0.0028227219135963377,-0.0003111002743840796,median,20.0
0.00038292426711472594,0.002478556059743342,0.0028408168508415876,-0.00031334770845059534,median,20.1
0.0003844769626533129,0.0024939667455994297,0.0028588503842603696,-0.0003155736825498634,median,20.2
0.00038602622293471,0.002509341593131431,0.0028768227062472285,-0.00031777830905532767,median,20.3
0.0003875720450929876,0.002524680668022805,0.0028947340083531614,-0.00031952212089858545,median,20.4
0.00038911442641720306,0.002539984035612175,0.002912584481300051,-0.00031750599844049265,median,20.5
0.00039065336434740416,0.002555251760898436,0.002930374314989548,-0.00031547118465480306,median,20.6
0.00039218885647152035,0.002570483908550303,0.0029481036985139486,-0.00031341781237226307,median,20.7
0.00039372090052514075,0.002585680542914748,0.0029657728201661904,-0.00031134601406890283,median,20.8
0.00039524949438662915,0.0026008417280218854,0.0029833818674498414,-0.00030925592186115125,median,20.9
0.00039677463607667995,0.0026159675275951866,0.0030009310270902034,-0.0003071476675003959,median,21.0
0.00039829632375298907,0.002631058005057918,0.0030184204850414176,-0.0003050213823687642,median,21.1
0.00039981455571092006,0.0026461132235395812,0.0030358504264991204,-0.0003028771974734612,median,21.2
0.00040132933037995144,0.0026611332458836845,0.0030532210359073275,-0.00030071524344266187,median,21.3
0.0004028406463194578,0.002676118134655514,0.003070532496969536,-0.0002985356505199599,median,21.4
0.000404348502219376,0.0026910679521467973,0.003087784992656495,-0.00029633854856070396,median,21.5
0.00040585289689598625,0.002705982760383696,0.003104978705215533,-0.00029412406702744587,median,21.6
0.00040735382928858144,0.0027208626211339126,0.0031221138161794393,-0.0002918923349850555,median,21.7
0.00040885129846057744,0.002735707595911796,0.0031391905063753445,-0.0002896434810966131,median,21.8
0.00041034530359396193,0.00275051774598567,0.0031562089559331596,-0.0002873776336189682,median,21.9
0.0004118358439888503,0.002765293132382718,0.003173169344292681,-0.0002850949203995201,median,22.0
0.00041332291905971097,0.002780033815896754,0.003190071850214027,-0.00028279546887066687,median,22.1
0.0004148065283346991,0.002794739857091999,0.003206916651782743,-0.0002796645215512594,median,22.2
0.00041628667145299225,0.0028094113163108503,0.0032237039264206846,-0.000275943142965418,median,22.3
0.0004177633481616816,0.002824048253678324,0.0032404338508924546,-0.00027221153199830095,median,22.4
0.000419236558315772,0.002838650729108272,0.0032571066013116212,-0.00026846982756167925,median,22.5
0.000420706301873075,0.002853218802308266,0.003273722353151376,-0.000264718167900968,median,22.6
0.0004221725788948749,0.0028677525327853726,0.0032902812812485305,-0.00026095669059233995,median,22.7
0.00042363538954215407,0.002882251979850814,0.0033067835598128426,-0.00025718553254183707,median,22.8
0.00042509473407514875,0.0028967172026261867,0.0033232293624338993,-0.0002534048299842606,median,22.9
0.0004265506128491303,0.002911148260046126,0.0033396188620871126,-0.0002496147184795072,median,23.0
0.00042800302631351705,0.0029255452108667424,0.003355952231140824,-0.0002491516206396538,median,23.1
0.000429451975010986,0.0029399081136660676,0.0033722296413640773,-0.00024899370037578805,median,23.2
0.00043089745957414216,0.002954237026853379,0.0033884512639321684,-0.00024882357831823576,median,23.3
0.0004323394807246306,0.0029685320086696443,0.0034046172694330856,-0.00024864134175051067,median,23.4
0.0004337780392686952,0.0029827931171944044,0.0034207278278739484,-0.0002484470777089909,median,23.5
0.00043521313609917733,0.002997020410349549,0.003436783108687891,-0.0002482408729816976,median,23.6
0.0004366447721910749,0.003011213945903757,0.003452783280739169,-0.0002480228141109597,median,23.7
0.00043807294859976587,0.0030253737814758264,0.0034687285123293776,-0.00024779298739108224,median,23.8
0.00043949766646123045,0.003039499974539339,0.003484618971204334,-0.00024755147887023377,median,23.9
0.0004409189269873881,0.0030535925824277665,0.003500454824558963,-0.0002472983743492252,median,24.0
0.00044233673146676367,0.00306765166233558,0.003516236239041959,-0.0002470337593833971,median,24.1
0.0004437510812620449,0.003081677271325134,0.0035319633807637807,-0.0002467577192817316,median,24.2
0.0004451619778067517,0.0030956694663284434,0.0035476364152997597,-0.0002464703391071854,median,24.3
0.00044656942260679067,0.0031096283041507355,0.003563255507696317,-0.0002461717036761346,median,24.4
0.0004479734172355698,0.003123553841476223,0.00357882082247718,-0.0002458618975607063,median,24.5
0.00044937396333422086,0.0031374461348676608,0.003594332523647159,-0.0002455410050871132,median,24.6
0.0004507710626104888,0.003151305240773672,0.0036097907746968083,-0.00024520911033643067,median,24.7
0.0004521647168349574,0.0031651312155300815,0.0036251957386095324,-0.0002448662971443749,median,24.8
0.000453554927841493,0.0031789241153630243,0.0036405475778638063,-0.00024451264910230197,median,24.9
0.0004549416975248022,0.003192683996391832,0.0036558464544398372,-0.00024414824955676373,median,25.0
0.0004563250278388775,0.003206410914633917,0.003671092529823561,-0.00024377318161028505,median,25.1
0.00045770492079610925,0.0032201049260052184,0.0036862859650101942,-0.00024338752812091968,median,25.2
0.000459081378465509,0.003233766086325529,0.0037014269205111194,-0.00024299137170213925,median,25.3
0.00046045440297048934,0.0032473944513191633,0.0037165155563552155,-0.00024258479472494265,median,25.4
0.00046182399648886374,0.0032609900766198407,0.00373155203209663,-0.00024216787931552464,median,25.5
0.00046319016125107026,0.003274553017770687,0.0037465365068143353,-0.0002417407073570521,median,25.6
0.0004645528995370629,0.003288083330228897,0.003761469139121454,-0.00024130336048966416,median,25.7
0.00046591221367786595,0.003301581069368398,0.003776350087165481,-0.00024085592011069412,median,25.8
0.0004672681060520212,0.0033150462904809608,0.003791179508634279,-0.00024039846737378134,median,25.9
0.00046862057908447774,0.003328479048779087,0.0038059575607582996,-0.00023993108319086964,median,26.0
0.00046996963524703617,0.003341879399399117,0.003820684400316132,-0.000239453848230875,median,26.1
0.0004713152770552398,0.003355247397402561,0.0038353601836362827,-0.00023896684292101789,median,26.2
0.0004726575070668204,0.0033685830977783215,0.0038499850666031676,-0.000238470147446046,median,26.3
0.0004739963278830306,0.003381886555445357,0.0038645592046584465,-0.00023796384174923357,median,26.4
0.00047533174214531293,0.003395157825255124,0.0038790827528054628,-0.00023744800553193723,median,26.5
0.0004766637525335238,0.0034083969619917998,0.0038935558656130187,-0.00023692271825437317,median,26.6
0.00047799236176726545,0.0034216040203762788,0.003907978697217596,-0.0002363880591356171,median,26.7
0.00047931757260188945,0.003434779055067061,0.003922351401328461,-0.0002358441071532713,median,26.8
0.00048063938783049487,0.003447922120661806,0.003936674131228557,-0.00023529094104490778,median,26.9
0.0004819578102794875,0.003461033271700442,0.0039509470397793844,-0.00023472863930684706,median,27.0
0.00048327284281057814,0.003474112562664944,0.0039651702794225585,-0.0002341572801952685,median,27.1
0.000484584488316786,0.0034871600479831066,0.003979344002186025,-0.00023357694172632115,median,27.2
0.0004858927497235488,0.003501906890539086,0.003993468359682062,-0.00023298770167623495,median,27.3
0.00048719762998783445,0.003517582451265655,0.004007543503113498,-0.00023238963758132059,median,27.4
0.0004884991320948107,0.0035332247891324275,0.00402156958327704,-0.0002317828267386357,median,27.5
0.0004897972590593991,0.0035488339566376315,0.004035546750563057,-0.00023116734620565182,median,27.6
0.0004910920139236108,0.0035644100062470763,0.00404947515496068,-0.00023054327280036535,median,27.7
0.0004923833997572125,0.0035799529903957072,0.004063354946060027,-0.00022941126959086233,median,27.8
0.0004936714196541736,0.0035954629614882716,0.004077186273054201,-0.00022699304639228757,median,27.9
0.0004949560767351091,0.003610939971902649,0.004090969284741508,-0.00022456828734584988,median,28.0
0.0004962373741435044,0.0036263840739900743,0.004104704129529235,-0.00022213707191076626,median,28.1
0.0004975153150463818,0.0036417953200769126,0.004118390955434759,-0.00021969947933386802,median,28.2
0.0004987899026331899,0.003657173762466215,0.004132029910088875,-0.00021725558864971184,median,28.3
0.0005000611401142496,0.003672519453438605,0.004145621140736688,-0.00021480547868102384,median,28.4
0.0005013290307209761,0.003687832445255168,0.004159164794242054,-0.00021234922803958778,median,28.5
0.0005025935777045465,0.0037031127901565597,0.0041726610170875755,-0.00020988691512635604,median,28.6
0.0005038547843347896,0.0037183605403650066,0.004186109955377715,-0.00020741861813144968,median,28.7
0.0005051126538992978,0.003733575748086748,0.004199511754841234,-0.0002049444150362678,median,28.8
0.0005063671897047595,0.0037487584655107042,0.004212866560832529,-0.00020246438361160024,median,28.9
0.0005076183950725177,0.0037639087448115838,0.004226174518334291,-0.00019997860141962587,median,29.0
0.0005088662733410132,0.003779026638150995,0.004239435771958622,-0.00019748714581424576,median,29.1
0.0005101108278635635,0.003794112197675892,0.004252650465950136,-0.00019499009394108313,median,29.2
0.0005113520620076972,0.003809165475522569,0.004265818744185967,-0.0001924875227381495,median,29.3
0.0005125899791558197,0.00382418652381622,0.0042789407501799825,-0.0001899795089352896,median,29.4
0.0005138245827025489,0.003839175394670269,0.00429201662708234,-0.00018746612905728988,median,29.5
0.0005150558760547153,0.0038541321401912576,0.004305046517683708,-0.00018494745942077007,median,29.6
